file,static_before,static_after,js_len,match
http-request-builder,651,1918,1918,PASS
text-case-detector,695,1383,1383,PASS
time-calculator,1102,1691,1691,PASS
api-response-viewer,610,1333,1333,PASS
pdf-metadata-viewer,496,1534,1534,PASS
webp-to-jpg,566,1327,1327,PASS
commission-calculator,722,1468,1468,PASS
ai-youtube-title-generator,617,1254,1254,PASS
yaml-validator,527,1383,1383,PASS
pixelate-image,551,1171,1171,PASS
emoji-counter,582,1232,1232,PASS
keyword-density-checker,695,1265,1265,PASS
csv-diff-checker,555,1443,1443,PASS
wpm-calculator,517,1243,1243,PASS
profit-calculator,709,1505,1505,PASS
unicode-inspector,633,1484,1484,PASS
seo-title-generator,637,1332,1332,PASS
prompt-variable-extractor,661,1518,1518,PASS
date-calc,1202,1832,1832,PASS
qr-code-generator,920,1267,1267,PASS
bmi-calc,1267,1376,1376,PASS
ai-token-counter,1227,1375,1375,PASS
slug-generator,515,773,773,PASS
unicode-converter,665,833,833,PASS
unit-converter,1646,2382,2382,PASS
calorie-calculator,667,2678,2678,PASS
compound-interest,606,2334,2334,PASS
currency-converter,395,1843,1843,PASS
gst-calculator,920,2367,2367,PASS
mortgage-calculator,605,2006,2006,PASS
roi-calculator,710,2232,2232,PASS
vat-calculator-global,702,2699,2699,PASS
